query_name,article_title,article_body,entity_relevance
fujifilm corporation,Certain Magnetic Tape Cartridges and Components Thereof; Commission Decision Rescinding the Limited Exclusion Order and the Cease and Desist Orders | Certain Magnetic Tape Cartridges and Components Thereof; Commission Decision Rescinding the Limited Exclusion Order and the Cease and Desist Orders | Federal Register: Certain Magnetic Tape Cartridges and Components Thereof; Commission Decision Rescinding the Limited Exclusion Order and the Cease and Desist Orders Pages 42948 - 42948 [FR DOC #2019-17766].,"Agency: ""U.S. International Trade Commission.""
SUMMARY: Notice is hereby given that the U.S. International Trade Commission has determined to rescind the limited exclusion order and the cease and desist orders issued in the above-captioned investigation.
FOR FURTHER INFORMATION CONTACT: Cathy Chen, Esq., Office of the General Counsel, U.S. International Trade Commission, 500 E Street SW, Washington, DC 20436, telephone (202) 205-2392. Copies of non-confidential documents filed in connection with this investigation are or will be available for inspection during official business hours (8:45 a.m. to 5:15 p.m.) in the Office of the Secretary, U.S. International Trade Commission, 500 E Street SW, Washington, DC 20436, telephone (202) 205-2000. General information concerning the Commission may also be obtained by accessing its internet server at https://www.usitc.gov. The public record for this investigation may be viewed on the Commission's electronic docket (EDIS) at https://edis.usitc.gov. Hearing-impaired persons are advised that information on this matter can be obtained by contacting the Commission's TDD terminal on (202) 205-1810.
SUPPLEMENTARY INFORMATION: The Commission instituted this investigation on June 1, 2017. 82 FR 25333 (Jun. 1, 2017). The complaint, as amended, was filed by Sony Corporation of Tokyo, Japan; Sony Storage Media Solutions Corporation of Tokyo, Japan; Sony Storage Media Manufacturing Corporation of Miyagi, Japan; Sony DADC US Inc. of Terre Haute, Indiana; and Sony Latin America Inc. of Miami, Florida (collectively ""Sony""). Id. The complaint alleged violations of section 337 of the Tariff Act of 1930, as amended, 19 U.S.C. 1337, in the importation into the United States, the sale for importation, and the sale within the United States after importation of certain magnetic tape cartridges and components thereof by reason of infringement of certain claims of U.S. Patent Nos. 7,029,774 (""the '774 patent""); 6,674,596 (""the '596 patent""); and 6,979,501 (""the '501 patent""). Id. The notice of investigation named Fujifilm Holdings Corporation of Tokyo, Japan; Fujifilm Corporation of Tokyo, Japan; Fujifilm Media Manufacturing Co., Ltd. of Kanagawa, Japan; Fujifilm Holdings America Corporation of Valhalla, NY; and Fujifilm Recording Media U.S.A., Inc. of Bedford, MA (collectively ""Fujifilm"") as respondents. Id. at 25334. The Office of Unfair Import Investigations (""OUII"") was also a party in this investigation. Id.
The ALJ found a violation of section 337. Following Commission review, on March 25, 2019, the Commission issued its final determination in the investigation, finding a violation of section 337 as to claims 1, 5-8, 10, 16, and 17 of the '774 patent and claims 1-13 of the '596 patent, and no violation of section 337 as to claims 1, 2, 4-6, and 8 of the '501 patent. 84 FR 11998-12000 (Mar. 29, 2019). An opinion accompanied the notice, and the Commission issued a limited exclusion order and cease and desist orders.
On July 23, 2019, Sony and Fujifilm entered into a Worldwide Resolution Agreement and Patent Cross-License (the ""Agreement""). On July 25, 2019, Sony and Fujifilm jointly petitioned, pursuant to Commission Rule 210.76, 19 CFR 210.76, to rescind the limited exclusion order and the cease and desist orders. The joint petition attached an unredacted confidential version and a redacted public version of the Agreement. On August 5, 2019, OUII filed a response in support of the joint petition.
Having reviewed the joint petition and OUII's response, the Commission finds that the Agreement fully resolves the dispute between Sony and Fujifilm concerning the subject matter of the investigation. The Commission also finds that the joint petition complies with the requirements of Commission Rule 210.76, 19 CFR 210.76. Accordingly, the Commission has determined to rescind the limited exclusion order and the cease and desist orders issued in the investigation.
The authority for the Commission's determination is contained in section 337 of the Tariff Act of 1930, as amended (19 U.S.C. 1337), and in part 210 of the Commission's Rules of Practice and Procedure (19 CFR 210).
By order of the Commission.
Issued: August 14, 2019.
Lisa Barton,
Secretary to the Commission.
Notice.
Citation: ""84 FR 42948""
Document Number: ""Investigation No. 337-TA-1058""
Federal Register Page Number: ""42948""
""Notices""",1
robert bosch gmbh,"Germanys Bosch fined US$100M over diesel scandal [Trends (Middle East)] | Germanys Bosch fined US$100M over diesel scandal [Governance, Risk & Compliance Monitor Worldwide] | Germany's Bosch fined $100 million over diesel scandal","German prosecutors have fined auto parts and technology company Bosch 90 million euros (US$100 million) over its role in the diesel emissions scandal that erupted at Volkswagen in 2015.
Prosecutors in Stuttgart said Wednesday that the company, formally called Robert Bosch GmbH, was fined for a negligent violation of supervisory obligations, and that the company had decided not to appeal.
Bosch delivered millions of engine control systems that were installed on various manufacturers cars starting in 2008 and whose software, in prosecutors words, contained in part prohibited strategies leading to cars emitting more nitrogen oxide than permitted by regulators.
However, prosecutors said they believe that the initiative to integrate and shape the prohibited strategies came from employees of the auto manufacturers.
They said that the fine does not affect ongoing criminal probes of Bosch employees. The bulk of the fine 88 million euros stems from profits on the sales of the parts, with the remaining 2 million euros covering the misdemeanour itself.
Prosecutors said that they took account of Bosch managers full and constructive co-operation with investigators since 2015.
Bosch agreed to a $327.5 million civil settlement in the United States for supplying emissions software to Volkswagen, Audi and Porsche vehicles that enabled cheating on diesel emissions tests.
The diesel emissions scandal has cost Volkswagen itself billions of euros.",1
airbus,Manslaughter & negligence: Air France could face trial over 2009 crash [Eturbo News],"U.S., July 17 -- French prosecutors have recommended that Air France face trial for manslaughter and negligence in the 2009 crash which killed 228 people on a flight from Rio de Janeiro to Paris.
The investigators concluding that the airline was aware of technical problems with a speed-measuring instrument on its Airbus A330 plane.
The airline did not inform pilots or train them in how to resolve the issues, however, according to an investigation document seen by Agence France-Presse. The prosecutors also recommended dropping the case against Airbus, the manufacturer.
A 2012 report into the crash by French air crash investigator BEA concluded that errors by pilots and failure to react swiftly after speed sensors malfunctioned led to the crash.
Investigating magistrates will decide whether to follow advice from prosecutors and bring a case to court, but Air France will be able to appeal any decision to bring a trial.
Flight AF447 tragically crashed into the Atlantic Ocean during a storm on June 1, 2009 - but the full wreckage was not located until two years later. It was found off the Brazilian coast by remote-controlled submarines at a depth of 13,000ft. Published by HT Digital Content Services with permission from US Eturbo News. For any query with respect to this article or any other content requirement, please contact Editor at contentservices@htlive.com",1
genus plc,Genus Says Seller Of Its Sexing Semen Technology In US To Pay Damages,"(Alliance News) - Animal genetics firm Genus PLC on Wednesday said that the sellers of its sexing semen technology, which was ruled to have breached three US patents, have been told by a jury to pay an additional amount in damages.
The jury in the US District Court for the Western District of Wisconsin held that ABS Global Inc, which sold the Genus technology under the IntelliGen brand, should pay USD2.60 for each of the 3.3 million straws of the product it sold up to June 30. This will mean ABS will pay roughly USD8.5 million. The court had ruled that IntelliGen had infringed patents held by Inguran LLC and Cytonome/ST LLC
This decision was only in respect to its breaches of two US patents 7,311,476 and 7,611,309. ABS Global is considering its options for appeal, Genus added.
The damages outlined on Wednesday are separate to the USD1.25 royalty ABS Global must pay for every straw produced in respect to the breach of patent 8,206,987, a verdict Genus had announced on Tuesday.
All damages will be retrospective, as ABS Global has since changed its IntelliGen technology.
The litigation forms ""part of a long-running dispute since 2014"" between ABS Global, Inguran, and Cytonome/ST, Genus said.
In 2014, the court said that Cytonome ""had wilfully maintained an illegal monopoly in the US market for sexed bovine semen processing"" and found that ABS Global infringed patent 8,206,987, though this was sent back to the court for a trial.
In 2017, Cytonome filed patent infringements proceedings against Genus and ABS Global, alleging the IntelliGen technology breached seven US patents. ABS Global successfully disputed that it did not infringe five of these patents.
Shares in Genus were marginally higher at 2,855.36 pence each in London on Wednesday morning.",1
"alaska airlines, inc.",FBI joining criminal investigation into certification of Boeing 737 MAX | FBI joining criminal investigation into certification of Boeing 737 MAX | FBI joining criminal investigation into certification of Boeing 737 MAX,"March 21--     Mar. 21--The FBI has joined the criminal investigation into the certification of the Boeing 737 MAX, lending its considerable resources to an inquiry already being conducted by U.S. Department of Transportation agents, according to people familiar with the matter.
The federal grand jury investigation, based in Washington, D.C., is looking into the certification process that approved the safety of the new Boeing plane, two of which have crashed since October.
The FBI's Seattle field office lies in proximity to Boeing's 737 manufacturing plant in Renton, as well as nearby offices of Boeing and Federal Aviation Administration (FAA) officials involved in the certification of the plane.
The investigation, which is being overseen by the U.S. Justice Department's criminal division and carried out by the Transportation Department's Inspector General, began in response to information obtained after a Lion Air 737 MAX 8 crashed shortly after takeoff from Jakarta on Oct. 29, killing 189 people, Bloomberg reported earlier this week, citing an unnamed source.
It has widened since then, The Associated Press reported this week, with the grand jury issuing a subpoena on March 11 for information from someone involved in the plane's development, one day after the crash of an Ethiopian Airlines 737 MAX 8 near Addis Ababa that killed 157 people.
The FBI's support role was described by people on condition of anonymity because of the confidential nature of the investigation.
Advertising
Representatives of the Justice Department, the FBI and Transportation Department declined to comment, saying they could neither confirm nor deny an investigation. Boeing declined to comment.
A Seattle Times story on Sunday detailed how FAA managers pushed its engineers to delegate more of the certification process to Boeing itself. The Times story also detailed flaws in an original safety analysis that Boeing delivered to the FAA.
Two days later, Transportation Secretary Elaine Chao took the unusual step of asking the department's inspector general to conduct a formal audit of the certification process for the MAX. The audit is an administrative action, separate from the criminal investigation.
Criminal investigations into the U.S. aviation industry, including federal oversight of airplane manufacturing and airline operations, are rare -- in part because of the longstanding belief that a civil-enforcement system better promotes candid reporting of concerns without fear of criminal repercussions.
Those criminal cases that have occurred have focused on false entries and misrepresentations.
In 1998, Transportation Department and FBI agents, acting on a whistleblower's allegations, served a criminal search warrant on Alaska Airlines, seeking evidence of maintenance irregularities.
Advertising
The investigation expanded to include the January 2000 crash of Alaska Flight 261 that killed 88 people, which the National Transportation Safety Board later blamed on the airline's faulty maintenance practices and poor FAA oversight.
But no criminal charges were filed, although the FAA, in a separate administrative review, ultimately found that Alaska and three of its managers had violated safety regulations, fining the carrier $44,000, revoking the mechanic licenses of two of the managers and suspending the license of the third.
Federal criminal charges were brought over the May 11, 1996, ValuJet Flight 592 crash that took off from Miami International Airport and plunged into the Everglades minutes later, killing 110 people.
Federal prosecutors in Florida filed a 24-count indictment against SabreTech, an airline maintenance contractor, and its workers over alleged violations in the handling of oxygen containers blamed for the crash. SabreTech was found guilty on nine counts but was acquitted on conspiracy charges, according to news reports. An appeals court later overturned all but one of the counts, the improper training of employees.
One issue that has arisen in criminal investigations of safety matters is whether they deter people from cooperating in other government investigations and civil proceedings.
In 2000, the National Transportation Safety Board warned that its findings on the cause of the 1999 deadly pipeline explosion in Bellingham could be indefinitely delayed because of a separate criminal investigation that had silenced key witnesses.
Then-NTSB Chairman Jim Hall said his agency had yet to question eight computer-room operators at Olympic Pipe Line who invoked their Fifth Amendment right against self-incrimination shortly after the June 10 blast that killed two boys and led to the death of a young man.
Eric Weiss, an NTSB spokesman, said he couldn't comment on whether any individuals have declined to provide information on the Boeing 737 MAX crashes in light of the criminal investigation.
Steve Miletich:
206-464-3302 or smiletich@seattletimes.com;      on Twitter: @stevemiletich.",1
consolidated electrical distributors inc,Trial date set in Mason City Country Club golf cart death in 2018,"A wrongful death lawsuit has been filed on behalf of a man who died in a golf cart accident at Mason City Country Club in August 2018.
On Aug. 23, 2018, Derrick Berhow, 34, of Belmond, died at the hospital after falling off a golf cart at the country club.
Keith Halfwassen of Jewell was driving a golf cart in the parking lot of the country club with Berhow standing on the back of the cart, Iowa State Patrol reported at the time.
As Halfwassen turned the cart, Berhow fell off and struck the pavement, according to officials.
Mason City Fire medics transported Berhow to Mercy Medical Center--North Iowa, where he later died from the injuries.
The Iowa State Patrol is assisting the Mason City Police Department in the investigation. No charges were ever filed against Halfwassen.
Berhow's estate, along with his wife Mandy Berhow and their child, filed a wrongful death lawsuit in Cerro Gordo County Court on Feb. 18.
The family and estate is represented by Thomas Reavely and Gary Goudelock Jr. with Whitfield & Eddy Law of Des Moines.
The lawsuit was filed against Halfwassen, Mason City Country Club Inc., and Consolidated Electrical Distributors Inc., doing business as Culver Hahn Electric Supply.
According to the lawsuit, Culver Hahn sponsored a golf outing at the country club and provided alcoholic beverages to participants during the outing.
Both Berhow and Halfwassen participated.
""Halfwassen was served and consumed alcoholic beverages during the golf outing on August 23, 2018,"" the lawsuit said. ""Toward the end of the golf outing, Derrick Berhow was allowed to stand on a back of the golf cart at the Mason City Country Club Inc. As the golf cart was being driven by Halfwassen, and as Berhow was standing on the back of the golf cart, Berhow fell off the golf cart striking his head resulting in his death.""
Halfwassen was deemed intoxicated at the time of the accident as a result of a blood alcohol test.
""Mason City County (sic) Club, Inc., by and through its employees, sold and served Keith Halfwassen beer or liquor to a point where it knew or should have known that Keith Halfwassen would become intoxicated,"" the lawsuit claimed.
The family is seeking damages including burial expenses, the present value of the amount of financial support which Berhow would have contributed to his son, Mandy Berhow's loss of her husband, the child's loss of a father, loss of net accumulation to the estate, pre-death pain and suffering, medical expenses and any other damages recognized by Iowa law.
The lawsuit accused the country club, Halfwassen and Culver Hahn of negligence.
The lawsuit claims that the country had a duty to provide a safe environment for guests.
According to the lawsuit, Mason City Country Club breached its duties in several ways, including the following:
Allowing golfers at the Country Club to stand on the back of a golf cart while the golf cart was in operation. Allowing golfers at the Country Club to violate the rules and regulations of the Mason City Country Club, Inc.Serving alcoholic beverages to the Halfwassen in an amount that allowed Halfwassen to become intoxicated.Failing to adequately supervise invitees at the golf outing.Failing to follow the proper safety procedure for the operation of the golf course;Allowing intoxicated individuals to operate golf carts on its premises.Allowing an unsafe condition to exist on its premises.
Halfwassen was accused of operating a golf cart in a unsafe manner while intoxicated and allowing Berhow to ride on the back of the golf cart.
""By sponsoring the golf outing, Defendant Culver Hahn had a duty to provide a safe environment for the participants and to follow all the rules of the Mason City Country Club,"" the lawsuit said.
Culver Hahn filed a response March 6 denying many of the claims, saying the company did not provide alcohol to attendees directly.
""Mr. Berhow was allowed to participate in the golf outing on the day in question and his golf was paid for by Defendant (Culver Hahn),"" the company said in a response. ""The Defendant owed no duty to Mr. Berhow on the day in question in regard to his safety. The Defendant was not the owner of the premises and never had any control over the premises or the golf cart in question.""
Halfwassen responded to the lawsuit on March 13, noting that Culver Hahn provided drink tickets to those attending. He admitted to consuming alcohol that day but denied fault in Berhow's death.
Mason City Country Club responded March 27 and denied most of the allegations.
""Actions by the Decedent (Berhow) not due to and other than intoxication, were the cause of injury and to the extent of the Decedent's intoxication caused the incident, the doctrine of complicity applies,"" The country club said in the answer. ""The Decedent assumed the risk f his behavior and assented to the activity.""
The lawsuit did not specify how much relief is requested. The order setting trial noted that the ""amount in controversy exceeds $10,000.""
Judge Chris C. Foy has been appointed to this case.
The trial date is set for Aug. 4, 2020 in Cerro Gordo County.",1
independence of the seas,Sky Pad ride suspended on 2 Royal Caribbean ships | Sky Pad ride suspended on two Royal Caribbean ships,"April 09--     Apr. 9--Royal Caribbean has temporarily closed its new trampoline bungee ""Sky Pad"" ride on two of its cruise ships after a passenger filed a lawsuit last month.
""As part of our commitment to safety, we are temporarily taking Sky Pad out of service on Mariner of Seas and Independence of the Seas,"" the Miami-based cruise line said in a statement.
On its blog Sunday, the cruise line also responded to a passenger that the ride was ""temporarily unavailable. We're currently conducting a review as the safety as part of our commitment to safety for all of our guests.""
The Tweet added, ""We're still running reviews and inspections.""
The cruise line has described the ""Sky Pad"" as a bungee trampoline experience. Riders don a virtual reality headset and are then strapped to a harness that allows them to leap and perform flips. In photos, the ride looks like a big ball with holes carved out.
On March 12 passenger Casey Holladay, 25, filed a $10 million federal lawsuit against the cruise line after he fell 20-feet while using the feature on the Mariner of the Seas during a February cruise with his girlfriend.
Holladay's attorney Brett Rivkind told the Sun Sentinel last month that Holladay suffered a fractured pelvis from the fall and he was taken to Jackson Memorial Hospital in Miami.
Upon learning of the ride's suspension, Rivkind said on Tuesday ""it is obvious they have finally recognized the Sky Pad is unsafe and RCCL (Royal Caribbean Cruises Limited) must do the proper safety analysis and risk assessment that should of been performed before launching this activity on their ships.""
He added, ""Casey is angry and sad he had to be one of the motivating factors for this to happen.""
The Mariner of the Seas sails out of Miami for three to four night cruises to the Bahamas; the Independence of the Seas sails out of Fort Lauderdale for four to five night Caribbean cruises.
The Sky Pad is also featured on the Asia-based Spectrum of the Seas which was not addressed in the cruise line's social media responses about the ride's suspension.",1
anadarko petroleum corp,Release of federal report on fatal 2017 Firestone home explosion delayed | Release of federal report on fatal 2017 Firestone home explosion delayed,"The National Transportation Safety Board has delayed the release of its report on the fatal 2017 Firestone home explosion caused by leaking equipment attached to an oil and gas well.
Colorado Department of Natural Resources spokesman Travis Duncan confirmed the state commission that oversees the oil and gas extraction industry is waiting until the federal agency's report is released before the state takes any action on the incident. The commission has not charged any fines to any parties associated with the incident.
But officials with the state agency, the Colorado Oil and Gas Conservation Commission, had no comment on whether a monetary penalty would be considered by the state, Duncan said.
Anadarko Petroleum Corp. owned the vertical well to which a leaking flowline that caused the explosion was attached. The company acquired the well in a land swap with Noble Energy.
Duncan said the state had been informed the report's release is now expected in May or June. But National Transportation Safety Board spokesman Eric Weiss said the agency's probes do not have a ""time-certain date"" for closing, adding they usually last between one and two years.
""There is no cookie-cutter approach to investigations. Every investigation is different and we follow the facts where they lead,"" Weiss said.
AdvertisementThe blast killed Mark Martinez and Joey Irwin, the husband and brother, respectively, of Erin Martinez, who was injured in the incident. The widow stood beside Gov. Jared Polis and Boulder state lawmakers Thursday to support a bill proposing sweeping oil and gas regulatory reform Democrats plan to introduce in the state Legislature. She also spoke at the news conference and shared her story about the blast.
Colorado Public Radio first reported the federal agency's delay of the report's release.
The recent record-long government shutdown was a reason for the setback because the investigator on the case was not working during the funding impasse, Weiss said.
Additionally, progress on the Firestone incident stalled when the case's lead investigator retired last year. A new investigator was put on the case last fall, Weiss said.
""It's difficult to find someone who can step in off the street and be an investigator in charge on pipeline investigations for the NTSB. That took a while,"" Weiss said.
Remaining steps for the agency in the investigation are writing a report, finishing fact finding and forming an analysis, Weiss said.
Sam Lounsberry: 303-473-1322, slounsberry@prairiemountainmedia.com and twitter.com/samlounz.",1
boeing company (the),"KESSLER TOPAZ MELTZER & CHECK, LLP  Reminds Investors of Securities Fraud Class Action Lawsuit Against THE BOEING COMPANY  BA [African Manager (Tunisia)]","(GlobeNewswire) - The law firm of Kessler Topaz Meltzer & Check, LLP reminds investors that a securities fraud class action lawsuit has been filed in the United States District Court for the Northern District of Illinois against The Boeing Company (NYSE: BA) (Boeing) on behalf of those who purchased or otherwise acquired Boeing securities between January 8, 2019 and March 21, 2019, inclusive (the Class Period).
Important Deadline: Investors who purchased Boeing securities during the Class Period may, no later than June 10, 2019, seek to be appointed as a lead plaintiff representative of the class. For additional information or to learn how to participate in this litigation please visit www.ktmc.com/boeing-ba-securities-class-action.
According to the complaint, Boeing, together with its subsidiaries, is one of the worlds major aerospace firms. It is organized based on the products and services it offers and operates in four reportable segments: (a) Commercial Airplanes (BCA); (b) Defense, Space & Security; (c) Global Services; and (d) Boeing Capital. The BCA segment develops, produces and markets commercial jet aircraft and provides fleet support services, principally to the commercial airline industry worldwide. On October 29, 2018, shortly after takeoff, Lion Air Flight 610 crashed, killing all aboard. Then, on March 10, 2019, shortly after takeoff, Ethiopian Airlines Flight 302 crashed, killing all aboard. The airplanes that crashed were Boeing 737 MAX jets.
The Class Period commences on January 8, 2019, when the defendants issued a press release entitled, Boeing Sets New Airplane Delivery Records, Expands Order Backlog, Delivered 806 commercial jets in 2018 with record-setting fourth quarter, Won nearly 900 net orders valued at $143.7 billion after finalizing more than 200 orders in December, 737 MAX family surpassed 5,000 orders; 777 family exceeded 2,000 orders. The complaint alleges that, following the crash of Ethiopian Airlines Flight 302, on March 11, 2019, Ethiopian Airlines grounded its 737 MAX 8. Similarly, the China Civil Aviation Administration grounded the 737 MAX 8. Following this news, the price of Boeing shares fell $47.13 per share, or 11.2%, during the two trading days ended March 12, 2019.
Since then, the 737 MAX series aircraft has been grounded by every country and is no longer permitted to fly. In addition, the U.S. Department of Transportation Office of Inspector General, the U.S. Department of Justice, and the FBI reportedly opened investigations into the Federal Aviation Administration (FAA) certification process and into safety-review processes.
On March 21, 2019, The New York Times reported in an article entitled, Doomed Boeing Jets Lacked 2 Safety Features That Company Sold Only as Extras, that Boeing has hidden from investors, pilots and passengers, that because of the safety compromised, Boeing created two new safety features that it sold as extras or optional features to keep costs down. Following this news, the price of Boeing shares fell $10.53 per share, or about 3%, on March 22, 2019.
The complaint alleges that throughout the Class Period, the defendants misled investors about the sustainability of Boeings core operation the BCA by touting its growth prospects and profitability, raising guidance, and maintaining that the 737 MAX was the safest airplane to fly the skies. Boeing made these statements all while concealing the full extent of safety problems caused by the placement of larger engines on the 737 MAX that changed the handling characteristics of the 737 MAX from previous models. The complaint further alleges that Boeing hid from investors and passengers that it prepared its own reports and statements to the FAA certifying its planes as safe to fly and that these statements and reports were undermined by Boeings conflicts of interest in having been delegated authority by the FAA to examine, test, and help certify its own planes and to provide the safety analysis for the 737 MAX. Boeing also hid the fact that Boeing withheld necessary safety features from the Boeing 737 MAX unless airlines purchased them as extras or optional features in order to keep the price down.
If you wish to discuss this securities fraud class action lawsuit or have any questions concerning this notice or your rights or interests with respect to this litigation, please contact Kessler Topaz Meltzer & Check (James Maro, Jr., Esq. or Adrienne Bell, Esq.) at (888) 2997706 (toll free) or (610) 6677706, or via e-mail at info@ktmc.com.
Boeing investors may, no later than June 10, 2019, seek to be appointed as a lead plaintiff representative of the class through Kessler Topaz Meltzer & Check, or other counsel, or may choose to do nothing and remain an absent class member. A lead plaintiff is a representative party who acts on behalf of all class members in directing the litigation. In order to be appointed as a lead plaintiff, the Court must determine that the class members claim is typical of the claims of other class members, and that the class member will adequately represent the class. Your ability to share in any recovery is not affected by the decision of whether or not to serve as a lead plaintiff.
Kessler Topaz Meltzer & Check prosecutes class actions in state and federal courts throughout the country involving securities fraud, breaches of fiduciary duties and other violations of state and federal law. Kessler Topaz Meltzer & Check is a driving force behind corporate governance reform, and has recovered billions of dollars on behalf of institutional and individual investors from the United States and around the world. The firm represents investors, consumers and whistleblowers (private citizens who report fraudulent practices against the government and share in the recovery of government dollars). The complaint in this action was not filed by Kessler Topaz Meltzer & Check. For more information about Kessler Topaz Meltzer & Check, please visit www.ktmc.com.
CONTACT:
Kessler Topaz Meltzer & Check, LLPJames Maro, Jr., Esq.Adrienne Bell, Esq.280 King of Prussia RoadRadnor, PA 19087(888) 299-7706 (toll free)(610) 667-7706info@ktmc.com",1
jason flack,"Head of Coin Drop Markets pleads guilty to fraud [Utilities Middle East (United Arab Emirates)] | Head of Coin Drop Markets pleads guilty to fraud [Governance, Risk & Compliance Monitor Worldwide]","Patrick McDonnell, also known as Jason Flack, pleaded guilty at the federal courthouse in Brooklyn to wire fraud in connection with a scheme to defraud investors in virtual currency.
On June 21, 2019, Patrick McDonnell, also known as Jason Flack, pleaded guilty at the federal courthouse in Brooklyn to wire fraud in connection with a scheme to defraud investors in virtual currency. He now faces up to 20 years in prison as well as forfeiture and restitution to his victims. The plea took place before United States District Judge Nicholas G. Garaufis.
Richard P. Donoghue, United States Attorney for the Eastern District of New York, and Philip R. Bartlett, Inspector-in-Charge, United States Postal Inspection Service, New York Division (USPIS), announced the guilty plea.
According to the Indictment, between approximately November 2014 and January 2018, McDonnell portrayed himself as an experienced trader in virtual currency, promising investors he would provide trading advice and purchase and trade virtual currency on their behalf. Beginning in approximately May 2016, McDonnell made similar representations through his Staten Island-based company, CabbageTech, Corp., also known as Coin Drop Markets. However, neither McDonnell nor CabbageTech provided investment services.
Instead, McDonnell sent investors false balance statements purportedly showing that their investments had been profitable, and stole their money for his personal use. McDonnell defrauded at least 10 victims of at least $194,000 in U.S. currency, 4.41 Bitcoin, 206 Litecoin, 620 Ethereum Classic and 1,342,634 Verge.
Lets recall that, back in August 2018, the case brought by the Commodity Futures Trading Commission (CFTC) against McDonnell concluded at the New York Eastern District Court. Judge Jack B. Weinstein entered a final judgement in favor of the CFTC and against defendants Patrick K. McDonnell and CabbageTech also known as Coin Drop Markets.
A permanent injunction was issued against the fraudsters. The defendants were also ordered to pay restitution in the amount of $290,429, as well as a civil monetary penalty of $871,287.",1
